Timestamp 	 X-Axis 	 Y-Axis 	 Z-Axis
0.000312089920044	-0.02	0.056	-0.452
0.00476717948914	0.0	-0.12	0.72
0.009033203125	0.012	-0.288	2.044
0.0132939815521	0.012	-0.288	2.044
0.0175540447235	0.004	-0.32	2.044
0.021831035614	-0.028	-0.144	1.388
0.0260951519012	-0.048	0.012	-0.056
0.0303549766541	-0.04	0.068	-0.584
0.0346150398254	-0.012	-0.036	0.236
0.0388860702515	-0.012	-0.036	0.236
0.0431451797485	0.016	-0.24	1.688
0.0474061965942	0.008	-0.336	2.044
0.0516700744629	-0.012	-0.232	1.84
0.0559401512146	-0.032	-0.028	0.376
0.0602262020111	-0.04	0.064	-0.568
0.0644950866699	-0.04	0.064	-0.568
0.0687630176544	-0.008	0.024	-0.172
0.073037147522	0.012	-0.164	1.228
0.0773050785065	0.012	-0.328	2.044
0.0816051959991	-0.004	-0.284	2.044
0.0858750343323	-0.016	-0.088	0.872
0.0901420116425	-0.028	0.056	-0.388
0.09441614151	-0.028	0.056	-0.388
0.0986821651459	-0.024	0.06	-0.464
0.102954149246	0.004	-0.116	0.708
0.107221126556	0.02	-0.292	2.044
0.111497163773	0.012	-0.324	2.044
0.115771055222	-0.028	-0.164	1.384
0.120052099228	-0.028	-0.164	1.384
0.124324083328	-0.04	0.012	-0.048
0.128597021103	-0.052	0.084	-0.584
0.13287115097	-0.008	-0.048	0.228
0.137137174606	-0.004	-0.232	1.692
0.141404151917	0.004	-0.34	2.044
0.145675182343	0.004	-0.34	2.044
0.149940013885	-0.02	-0.228	1.864
0.154214143753	-0.044	-0.028	0.372
0.158480167389	-0.04	0.056	-0.564
0.162752151489	-0.016	0.024	-0.172
0.167018175125	0.008	-0.176	1.216
0.171284198761	0.008	-0.176	1.216
0.175551176071	0.024	-0.336	2.044
0.179821014404	0.0	-0.276	2.044
0.184079170227	-0.008	-0.084	0.868
0.188345193863	-0.024	0.044	-0.38
0.192628145218	-0.024	0.068	-0.452
0.196895122528	-0.024	0.068	-0.452
0.201174020767	0.0	-0.104	0.712
0.205433130264	0.028	-0.284	2.044
0.209702014923	0.008	-0.328	2.044
0.213972091675	-0.028	-0.168	1.38
0.218238115311	-0.06	0.012	-0.064
0.222510099411	-0.04	0.064	-0.596
0.226775169373	-0.04	0.064	-0.596
0.231041193008	-0.016	-0.04	0.248
0.235306978226	0.008	-0.232	1.7
0.239580154419	0.008	-0.352	2.044
0.243852138519	-0.028	-0.236	1.852
0.248118162155	-0.032	-0.028	0.38
0.252402067184	-0.032	-0.028	0.38
0.256676197052	-0.012	0.052	-0.552
0.260944128036	-0.016	0.024	-0.16
0.265215158463	0.02	-0.184	1.212
0.269481182098	0.016	-0.336	2.044
0.273746013641	0.004	-0.288	2.044
0.278009176254	0.004	-0.288	2.044
0.28228020668	-0.02	-0.084	0.872
0.286545038223	-0.028	0.048	-0.384
0.290810108185	-0.044	0.072	-0.448
0.295081138611	-0.012	-0.108	0.7
0.299347162247	0.024	-0.292	2.044
0.30361199379	0.024	-0.292	2.044
0.307877063751	0.012	-0.328	2.044
0.312155008316	-0.024	-0.152	1.376
0.316421985626	-0.036	0.008	-0.06
0.320686101913	-0.04	0.08	-0.588
0.32496213913	-0.004	-0.072	0.228
0.329228162766	-0.004	-0.072	0.228
0.333499193192	0.008	-0.248	1.684
0.33776307106	0.004	-0.34	2.044
0.342034101486	-0.016	-0.228	1.856
0.346299171448	-0.036	-0.036	0.384
0.350565195084	-0.036	0.064	-0.568
0.354830980301	-0.004	0.016	-0.172
0.359106063843	-0.004	0.016	-0.172
0.363377094269	0.024	-0.136	1.192
0.36764216423	0.02	-0.34	2.044
0.371906995773	0.0	-0.288	2.044
0.376164197922	-0.028	-0.08	0.876
0.380443096161	-0.024	0.048	-0.392
0.384711027145	-0.024	0.048	-0.392
0.388985157013	-0.016	0.056	-0.456
0.393252134323	-0.004	-0.112	0.7
0.397516012192	0.032	-0.292	2.044
0.401787996292	0.0	-0.324	2.044
0.406045198441	-0.024	-0.164	1.392
0.410310029984	-0.024	-0.164	1.392
0.41458106041	-0.044	0.02	-0.044
0.418845176697	-0.036	0.064	-0.576
0.42311501503	-0.016	-0.044	0.228
0.427381038666	0.008	-0.232	1.688
0.431647062302	0.016	-0.356	2.044
0.435911178589	0.016	-0.356	2.044
0.440176010132	-0.024	-0.24	1.852
0.444447994232	-0.036	-0.028	0.384
0.448713064194	-0.036	0.06	-0.576
0.452978134155	0.0	0.016	-0.188
0.457242012024	0.012	-0.184	1.208
0.46150803566	0.012	-0.184	1.208
0.465778112411	0.02	-0.336	2.044
0.470041036606	-0.004	-0.288	2.044
0.474307060242	-0.02	-0.096	0.876
0.478582143784	-0.028	0.048	-0.384
0.482855081558	-0.028	0.06	-0.456
0.48712015152	-0.028	0.06	-0.456
0.491384983063	0.0	-0.116	0.704
0.495647192001	0.02	-0.288	2.044
0.49991106987	0.008	-0.324	2.044
0.504176139832	-0.02	-0.168	1.388
0.508441209793	-0.048	0.012	-0.052
0.512706041336	-0.028	0.072	-0.592
0.516972064972	-0.028	0.072	-0.592
0.521242141724	-0.012	-0.04	0.22
0.52551317215	0.02	-0.236	1.664
0.529778003693	0.008	-0.344	2.044
0.534048080444	-0.024	-0.24	1.86
0.538313150406	-0.028	-0.032	0.38
0.542587995529	-0.028	-0.032	0.38
0.546854019165	-0.032	0.068	-0.56
0.551119089127	-0.008	0.028	-0.176
0.555385112762	0.016	-0.172	1.2
0.559648990631	0.004	-0.332	2.044
0.563920021057	0.0	-0.292	2.044
0.568176984787	0.0	-0.292	2.044
0.572436094284	-0.036	-0.076	0.884
0.576701164246	-0.024	0.04	-0.372
0.580965995789	-0.012	0.068	-0.456
0.58523607254	-0.008	-0.108	0.704
0.589506149292	0.016	-0.288	2.044
0.593772172928	0.016	-0.288	2.044
0.598045110703	0.016	-0.336	2.044
0.602317094803	-0.02	-0.164	1.392
0.606583118439	-0.04	0.016	-0.048
0.6108481884	-0.044	0.076	-0.588
0.615120172501	-0.016	-0.044	0.216
0.619386196136	-0.016	-0.044	0.216
0.623651981354	-0.012	-0.232	1.688
0.627917051315	0.008	-0.344	2.044
0.632182121277	-0.016	-0.224	1.872
0.636452198029	-0.04	-0.028	0.384
0.640717029572	-0.032	0.06	-0.56
0.644988059998	-0.032	0.06	-0.56
0.649254083633	-0.012	0.012	-0.184
0.653534173965	0.012	-0.172	1.192
0.657800197601	0.028	-0.328	2.044
0.662072181702	0.0	-0.292	2.044
0.666329145432	-0.016	-0.1	0.888
0.670595169067	-0.028	0.044	-0.38
0.674861192703	-0.028	0.044	-0.38
0.679126024246	-0.02	0.064	-0.452
0.683398008347	-0.008	-0.116	0.704
0.687662124634	0.028	-0.3	2.044
0.69193315506	0.0	-0.32	2.044
0.696189165115	-0.036	-0.164	1.4
0.700453996658	-0.036	-0.164	1.4
0.70471906662	-0.044	0.032	-0.036
0.708983182907	-0.044	0.072	-0.58
0.713249206543	-0.012	-0.036	0.22
0.717524051666	0.0	-0.24	1.676
0.721791028976	0.0	-0.348	2.044
0.726047992706	0.0	-0.348	2.044
0.730305194855	-0.016	-0.232	1.864
0.734575986862	-0.036	-0.032	0.388
0.738842010498	-0.028	0.068	-0.568
0.743115186691	-0.012	0.024	-0.176
0.747381210327	0.016	-0.18	1.196
0.75165104866	0.016	-0.18	1.196
0.755915164948	0.028	-0.332	2.044
0.760179042816	0.016	-0.288	2.044
0.764450073242	-0.016	-0.088	0.888
0.768716096878	-0.036	0.04	-0.376
0.772983074188	-0.024	0.052	-0.468
0.77724814415	-0.024	0.052	-0.468
0.781512975693	-0.004	-0.104	0.692
0.785788059235	0.02	-0.288	2.044
0.790052175522	0.004	-0.332	2.044
0.794317007065	-0.028	-0.144	1.392
0.798582077026	-0.036	0.008	-0.04
