Timestamp 	 X-Axis 	 Y-Axis 	 Z-Axis
0.000310897827148	-0.012	-0.232	1.912
0.00561690330505	-0.016	-0.036	0.44
0.010694026947	-0.032	0.068	-0.544
0.0157659053802	-0.008	0.02	-0.204
0.0208339691162	0.008	-0.172	1.132
0.0259199142456	0.016	-0.316	2.044
0.0309870243073	0.012	-0.284	2.044
0.036055803299	-0.016	-0.092	0.952
0.0411229133606	-0.028	0.048	-0.36
0.0462019443512	-0.012	0.076	-0.48
0.0512688159943	0.008	-0.096	0.636
0.0563359260559	0.024	-0.276	2.044
0.061402797699	0.0	-0.316	2.044
0.0664618015289	-0.044	-0.176	1.456
0.0715529918671	-0.048	0.012	-0.004
0.0766298770905	-0.044	0.088	-0.6
0.0817058086395	-0.016	-0.032	0.18
0.0867869853973	0.008	-0.232	1.636
0.0918679237366	0.012	-0.34	2.044
0.0969460010529	0.0	-0.244	1.912
0.102017879486	-0.028	-0.028	0.448
0.107091903687	-0.036	0.076	-0.544
0.112165927887	-0.008	0.04	-0.216
0.11723780632	0.008	-0.172	1.14
0.122316837311	0.02	-0.32	2.044
0.127389907837	0.008	-0.284	2.044
0.132477998734	-0.016	-0.104	0.94
0.137552022934	-0.028	0.044	-0.324
0.142644882202	-0.028	0.068	-0.48
0.147722959518	0.0	-0.096	0.632
0.152794837952	0.024	-0.28	2.044
0.157867908478	0.024	-0.336	2.044
0.162946939468	-0.016	-0.176	1.452
0.168020963669	-0.036	0.016	0.0
0.173090934753	-0.044	0.08	-0.592
0.178164958954	-0.016	-0.036	0.168
0.183249950409	0.004	-0.228	1.632
0.188323020935	0.012	-0.344	2.044
0.193394899368	-0.004	-0.24	1.888
0.198468923569	-0.028	-0.04	0.444
0.203547000885	-0.024	0.056	-0.552
0.208619832993	-0.016	0.028	-0.212
0.213698863983	0.0	-0.172	1.144
0.218761920929	0.02	-0.328	2.044
0.223834991455	0.004	-0.28	2.044
0.228922843933	-0.024	-0.096	0.96
0.233997821808	-0.028	0.04	-0.344
0.23908495903	-0.024	0.064	-0.484
0.244163990021	0.0	-0.108	0.632
0.249228000641	0.016	-0.288	2.044
0.254305839539	0.016	-0.316	2.044
0.25937795639	-0.028	-0.172	1.456
0.264451980591	-0.036	0.016	0.0
0.269515991211	-0.04	0.076	-0.596
0.274592876434	-0.012	-0.028	0.156
0.279666900635	0.004	-0.224	1.628
0.284750938416	0.02	-0.348	2.044
0.289826869965	-0.004	-0.244	1.912
0.294905900955	-0.024	-0.04	0.448
0.29999089241	-0.044	0.072	-0.54
0.305078029633	-0.012	0.044	-0.224
0.310153007507	0.016	-0.168	1.136
0.315231800079	0.016	-0.332	2.044
0.320307970047	-0.004	-0.28	2.044
0.325387001038	-0.032	-0.092	0.948
0.330464839935	-0.04	0.04	-0.344
0.335537910461	-0.008	0.06	-0.472
0.340616941452	-0.004	-0.1	0.636
0.345688819885	0.028	-0.288	2.044
0.350766897202	0.008	-0.328	2.044
0.355839014053	-0.028	-0.184	1.452
0.360917806625	-0.044	0.008	-0.004
0.365989923477	-0.04	0.076	-0.588
0.371079921722	-0.016	-0.024	0.152
0.376152992249	0.012	-0.22	1.616
0.381229877472	0.004	-0.344	2.044
0.386304855347	-0.008	-0.24	1.912
0.391382932663	-0.04	-0.02	0.432
0.396456003189	-0.036	0.056	-0.556
0.401532888412	-0.008	0.024	-0.22
0.406605005264	0.008	-0.172	1.136
0.411682844162	0.02	-0.328	2.044
0.416754961014	0.004	-0.284	2.044
0.421825885773	-0.024	-0.1	0.952
0.426905870438	-0.024	0.028	-0.324
0.431978940964	-0.028	0.06	-0.484
0.437049865723	0.0	-0.108	0.628
0.442118883133	0.016	-0.292	2.04
0.447189807892	0.008	-0.316	2.044
0.452279806137	-0.02	-0.168	1.46
0.457353830338	-0.044	0.0	0.012
0.462431907654	-0.036	0.088	-0.6
0.46750497818	-0.012	-0.024	0.168
0.47257900238	0.004	-0.232	1.62
0.477649927139	0.004	-0.348	2.044
0.482721805573	-0.004	-0.244	1.916
0.487793922424	-0.032	-0.044	0.452
0.492872953415	-0.036	0.072	-0.544
0.497943878174	-0.012	0.024	-0.2
0.50302195549	0.02	-0.168	1.132
0.508093833923	0.024	-0.332	2.044
0.513164997101	0.004	-0.284	2.044
0.518234968185	-0.02	-0.088	0.956
0.523312807083	-0.04	0.044	-0.348
0.528385877609	-0.028	0.06	-0.488
0.533463001251	0.004	-0.092	0.616
0.538532972336	0.024	-0.284	2.04
0.543617963791	0.008	-0.32	2.044
0.548689842224	-0.032	-0.172	1.464
0.553761959076	-0.032	0.008	0.004
0.558831930161	-0.044	0.072	-0.592
0.563905000687	-0.024	-0.032	0.156
0.568985939026	-0.008	-0.216	1.636
0.574064016342	0.004	-0.34	2.044
0.579134941101	-0.008	-0.252	1.928
0.584208011627	-0.028	-0.04	0.456
0.58927989006	-0.036	0.068	-0.544
0.594352960587	-0.004	0.02	-0.224
0.599422931671	0.012	-0.168	1.136
0.604542016983	0.032	-0.336	2.044
0.609613895416	0.008	-0.284	2.044
0.614691019058	-0.028	-0.1	0.956
0.619767904282	-0.032	0.036	-0.336
0.624845027924	-0.028	0.068	-0.492
0.629917860031	-0.012	-0.108	0.628
0.634994983673	0.008	-0.284	2.044
0.640066862106	0.008	-0.32	2.044
0.645145893097	-0.012	-0.176	1.468
0.650219917297	-0.044	0.008	0.0
0.655287981033	-0.036	0.084	-0.6
0.660427808762	-0.008	-0.032	0.144
0.665504932404	0.0	-0.228	1.616
0.670575857162	0.0	-0.344	2.044
0.675638914108	-0.016	-0.24	1.92
0.680712938309	-0.036	-0.036	0.452
0.685786008835	-0.028	0.064	-0.548
0.690862894058	-0.012	0.036	-0.228
0.69593501091	0.02	-0.184	1.14
0.701016902924	0.02	-0.32	2.044
